Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca0006-il-200000
Airfoil,naca0006-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,38.9059
Max Cl/Cd alpha,2.5
Url,http://airfoiltools.com/polar/csv?polar=xf-naca0006-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.500,-0.5830,0.09692,0.09373,0.0063,1.0000,0.0398
-9.250,-0.5886,0.09183,0.08866,0.0035,1.0000,0.0399
-7.750,-0.7058,0.07163,0.06793,-0.0079,1.0000,0.0399
-7.500,-0.7044,0.06601,0.06208,-0.0097,1.0000,0.0402
-7.250,-0.7011,0.05867,0.05482,-0.0104,1.0000,0.0416
-7.000,-0.6897,0.05497,0.05108,-0.0105,1.0000,0.0429
-6.750,-0.6770,0.05117,0.04713,-0.0109,1.0000,0.0448
-6.500,-0.6625,0.04700,0.04268,-0.0113,1.0000,0.0477
-6.250,-0.6495,0.04211,0.03710,-0.0114,1.0000,0.0537
-6.000,-0.6311,0.03928,0.03438,-0.0113,1.0000,0.0580
-5.750,-0.6072,0.03004,0.02356,-0.0080,1.0000,0.0304
-5.500,-0.5857,0.02563,0.01880,-0.0071,1.0000,0.0288
-5.250,-0.5617,0.02263,0.01532,-0.0060,1.0000,0.0289
-5.000,-0.5364,0.02054,0.01275,-0.0049,1.0000,0.0304
-4.750,-0.5126,0.01830,0.01046,-0.0044,1.0000,0.0352
-4.500,-0.4866,0.01684,0.00879,-0.0035,1.0000,0.0392
-4.250,-0.4626,0.01521,0.00716,-0.0027,1.0000,0.0482
-4.000,-0.4385,0.01388,0.00581,-0.0019,1.0000,0.0593
-3.750,-0.4140,0.01298,0.00489,-0.0013,1.0000,0.0738
-3.500,-0.3891,0.01226,0.00416,-0.0007,1.0000,0.0888
-3.250,-0.3645,0.01141,0.00343,-0.0001,1.0000,0.1168
-3.000,-0.3466,0.00930,0.00284,0.0008,1.0000,0.4274
-2.750,-0.3265,0.00842,0.00262,0.0024,1.0000,0.5976
-2.500,-0.3060,0.00787,0.00252,0.0045,1.0000,0.7194
-2.250,-0.2850,0.00755,0.00249,0.0068,1.0000,0.8172
-2.000,-0.2572,0.00748,0.00253,0.0080,1.0000,0.9037
-1.750,-0.2082,0.00757,0.00252,0.0044,1.0000,0.9654
-1.500,-0.1297,0.00764,0.00241,-0.0060,1.0000,1.0000
-1.250,-0.1074,0.00752,0.00220,-0.0053,1.0000,1.0000
-1.000,-0.0852,0.00743,0.00205,-0.0045,1.0000,1.0000
-0.750,-0.0633,0.00737,0.00194,-0.0035,1.0000,1.0000
-0.500,-0.0417,0.00732,0.00187,-0.0025,1.0000,1.0000
-0.250,-0.0206,0.00729,0.00181,-0.0013,1.0000,1.0000
0.000,0.0000,0.00728,0.00180,0.0000,1.0000,1.0000
0.250,0.0206,0.00729,0.00181,0.0013,1.0000,1.0000
0.500,0.0417,0.00732,0.00187,0.0025,1.0000,1.0000
0.750,0.0633,0.00736,0.00194,0.0035,1.0000,1.0000
1.000,0.0852,0.00743,0.00205,0.0045,1.0000,1.0000
1.250,0.1074,0.00752,0.00220,0.0053,1.0000,1.0000
1.500,0.1297,0.00764,0.00241,0.0060,1.0000,1.0000
1.750,0.2081,0.00757,0.00252,-0.0044,0.9655,1.0000
2.000,0.2571,0.00748,0.00253,-0.0080,0.9037,1.0000
2.250,0.2849,0.00755,0.00249,-0.0068,0.8174,1.0000
2.500,0.3058,0.00786,0.00252,-0.0045,0.7197,1.0000
2.750,0.3263,0.00842,0.00262,-0.0024,0.5981,1.0000
3.000,0.3465,0.00930,0.00284,-0.0008,0.4282,1.0000
3.250,0.3644,0.01141,0.00343,0.0001,0.1170,1.0000
3.500,0.3890,0.01226,0.00416,0.0007,0.0889,1.0000
3.750,0.4139,0.01298,0.00489,0.0013,0.0738,1.0000
4.000,0.4385,0.01388,0.00581,0.0019,0.0594,1.0000
4.250,0.4625,0.01521,0.00716,0.0028,0.0481,1.0000
4.500,0.4865,0.01684,0.00879,0.0035,0.0392,1.0000
4.750,0.5125,0.01830,0.01046,0.0044,0.0352,1.0000
5.000,0.5364,0.02050,0.01271,0.0049,0.0304,1.0000
5.250,0.5618,0.02263,0.01532,0.0059,0.0289,1.0000
5.500,0.5858,0.02564,0.01881,0.0071,0.0288,1.0000
5.750,0.6072,0.03007,0.02359,0.0080,0.0304,1.0000
6.000,0.6312,0.03926,0.03436,0.0113,0.0579,1.0000
6.250,0.6496,0.04212,0.03711,0.0114,0.0537,1.0000
6.500,0.6626,0.04701,0.04269,0.0113,0.0477,1.0000
6.750,0.6771,0.05118,0.04714,0.0109,0.0448,1.0000
7.000,0.6899,0.05498,0.05109,0.0105,0.0429,1.0000
7.250,0.7012,0.05868,0.05483,0.0104,0.0416,1.0000
7.500,0.7042,0.06619,0.06226,0.0096,0.0402,1.0000
7.750,0.7060,0.07165,0.06795,0.0078,0.0399,1.0000
8.000,0.7075,0.07636,0.07291,0.0047,0.0396,1.0000
8.250,0.7062,0.08309,0.07983,-0.0032,0.0390,1.0000
8.500,0.7028,0.08984,0.08658,-0.0120,0.0385,1.0000
